username,following,followers,totaltweets,tweetcreated,retweetcount,text,hashtags
KittyKunoichi,275,43,3901,2021-01-17 16:33:50,1705,"As more #COVID19 vaccine becomes available, more groups of people will be able to get vaccinated. Even after getting vaccinated, continue to #WearAMask over your nose and mouth, stay 6 feet from others, avoid crowds, and wash your hands. More:  https://t.co/AKnOrVkuRI. #SleeveUp https://t.co/GcSvRyYdbw","[{'text': 'COVID19', 'indices': [20, 28]}]"
reillyd123,239,11,3158,2021-01-17 16:33:49,0,@standardnews @EveningStandard In the history of stupidity this Johnson government achieves top place . Lost £22 billion now can’t get us 2 vaccines!. 100000 dead and English Racist Pinocchio Media still Supporting Trump and Johnston!,[]
RAJESH21490629,236,29,14211,2021-01-17 16:33:48,735,"India is the vaccine hub of the world. We have successfully developed new vaccines for Rotavirus, Malaria,Jap Encephalitis,Typhoid,Malaria &amp; now COVID -19. Congrats to our amazing Pharma Cos. They have risen to the occasion to produce Bn+ doses for India &amp; the World. Phenomenal!",[]
CG_Cynic,950,355,33807,2021-01-17 16:33:47,4,"The sunk costs of failed plans devised by large committees with different agendas cannot continue to disrupt vaccine delivery. 65 and older, plus people with underlying conditions, at 24/7 sites available by car. Self-policing and accept some will cheat.  https://t.co/Wpl71Giw1d",[]
NayayoungIndia,1145,1459,449459,2021-01-17 16:33:47,223,"India's ready to prove it's a Covid-19 vaccination superpower with the world’s most ambitious inoculation drive. It has the largest vaccine makers, a tested delivery network, an app &amp; the broadest acceptance of vaccines. @narendramodi calls for confidence. https://t.co/SwsNqCxhzR https://t.co/DT9zTVoY53",[]
sushma66636808,31,6,770,2021-01-17 16:33:47,6,"World is not reposing any trust in #vaccine developed by #China, the land of #coronavirus. #Sinovac failure rate in #Brazil is as high as 30%. Friendship with #NaMo comes handy to India's #BRICS ally #ChineseVirus #WuhanVirus @drharshvardhan https://t.co/YmKMdMD1kT","[{'text': 'vaccine', 'indices': [55, 63]}, {'text': 'China', 'indices': [77, 83]}, {'text': 'coronavirus', 'indices': [97, 109]}, {'text': 'Sinovac', 'indices': [111, 119]}]"
Dubliner76,477,160,7101,2021-01-17 16:33:46,60,"There is list of hospitals and a certain quantity of vaccines.

Somebody made a decision to vaccinate the workers at Denis OBribes private hospital before public ones.

Who made the decision?",[]
kvhausen,301,45,2802,2021-01-17 16:33:46,0,"@JustMe43963414 @Schalk47087430 @IamKaren68 @the_Neb @sheeptweetZ @CDCgov Not these vaccines I don't think - they don't use inactive/denatured virus, they instead hijack your RNA to produce a protein that mimics the protein on a virus. Hey but who knows what happens to your RNA for the rest of your life?🤷‍♀️",[]
BerlinskyJohn,524,353,2779,2021-01-17 16:33:46,0,"@TamTami00 @pkennepohl @sarienaf @BoozeChimp @charlesadler @kinsellawarren No lives were lost as a result of the CanSinoBio collaboration, which in no way interfered with Canada's procurement of approved vaccines.",[]
dionycdot,1335,415,3759,2021-01-17 16:33:45,74,mRNA technology gave us the first COVID-19 vaccines. It could also upend the drug industry https://t.co/sFfMTZ2928,[]
youngkbaekchan,331,847,188691,2021-01-17 16:33:45,4841,"PUBLIC WARNING? Almost a year into the pandemic, the FDA decides these masks aren’t okay? Panahong dalgona pa, ginagamit na ang mga ito, especially Aidelai. We even have that at home now. How sure are we you can decide on the vaccines if it took you so long to decide on masks? https://t.co/7Pg3389z04",[]
jethrosteve,2796,1566,52241,2021-01-17 16:33:44,14,"Israel has no duty to provide the Palestinian Authority with vaccines under Oslo Accords https://t.co/Ytfgz8tecb

Israel has no duty under IV Geneva Convention, assuming it applies. https://t.co/RfwU89gfH4

False accusations of denying medical care are an anti-Semitic blood libel https://t.co/s85suN1PKn https://t.co/FBC3XE9Pkc",[]
adrianne2011,428,67,4470,2021-01-17 16:33:44,9190,what kind of shithole president lies about having a stockpile of vaccines,[]
Hereticus3,64,8,371,2021-01-17 16:33:42,0,@MiaOBrienJones @yusefayourself @mattjmiller15 @LozzaFox I believe that you should take as many vaccines as you want. What is the problem with that?,[]
BruceFo43322941,1977,1169,24042,2021-01-17 16:33:42,34,"Fauci: Approval of AstraZeneca and Johnson &amp; Johnson vaccines likely ""weeks away"" https://t.co/ojeFieGVIJ https://t.co/2sgKrRhc3B",[]
Rosenchild,8886,13051,800343,2021-01-17 16:33:42,34,"Fauci: Approval of AstraZeneca and Johnson &amp; Johnson vaccines likely ""weeks away"" https://t.co/ojeFieGVIJ https://t.co/2sgKrRhc3B",[]
juliibongo,1293,171,5497,2021-01-17 16:33:42,417,"CNN's @camanpour:

Israel is required under international law to provide vaccines for Palestinians.

Fact Check:

The Oslo Accords say the exact opposite &amp; Palestinians have denied Israel's vaccine offers.

It's a shame CNN allows its correspondent to repeatedly spew Jew Hatred!",[]
Colinegreen,5001,2118,62720,2021-01-17 16:33:41,103,"Vaccines won't change the overall pandemic curve for months, but scaling up vaccinations will greatly reduce deaths. No time to waste.",[]
ranjeetwilkhoo,235,60,1794,2021-01-17 16:33:41,1373,"Vaccines Recipients: 40   million 
Rumors Spreaders:   400 million

Why? Because rumors don’t go through phase 1/2/3 trials!",[]
LindaCLawrence,361,177,28987,2021-01-17 16:33:40,457,"“We’re inheriting a huge mess here,” Ron Klain, Biden’s WH chief of staff says on @CNNSotu of vaccines.
Says expects US to hit 500,000 covid deaths in February.",[]
reillyd123,239,11,3158,2021-01-17 16:33:40,0,@DailyMailUK In the history of stupidity this Johnson government achieves top place . Lost £22 billion now can’t get us 2 vaccines!. 100000 dead and English Racist Pinocchio Media still Supporting Trump and Johnston!,[]
sbg_twt,673,70,10095,2021-01-17 16:33:39,8,"It is REMARKABLE that @HRW quotes the Geneva Conventions on vaccines and somehow ""forgets"" to mention the part that says that the Palestinian Authority Health Ministry must be coordinated with. And the PA has said they can do it themselves. 

Must be another oversight. https://t.co/2ekqIFBt2A",[]
mnshekhar,312,192,6288,2021-01-17 16:33:39,4824,"World’s #LargestVaccineDrive  ever in Bharath. Congratulations to our Scientists, healthcare workers and administration. Vaccines will definitely help mitigate Virus risk substantially but still very important to maintain protocols of non-spread. Blessings. -Sg","[{'text': 'LargestVaccineDrive', 'indices': [24, 44]}]"
RafaA1984,501,315,14096,2021-01-17 16:33:39,9,"Tecnología militar

""In 2012,...the US Defense Advanced Research Projects Agency (DARPA) began funding groups at Novartis, Pfizer, AstraZeneca, Sanofi Pasteur and elsewhere to work on RNA-encoded vaccines and therapeutics."" https://t.co/j5wxhcjmAT",[]
CoffeePint,817,392,27685,2021-01-17 16:33:38,577,"I really, really, really, really don't understand what people don't understand about a multi-layered approach to protection from a deadly virus... 

Continued H/T to @MackayIM for the awesome graphic 

See vaccines on the end? It still means everything before it helps reduce risk https://t.co/vd619IZasz",[]
chatbotter17,492,107,4141,2021-01-17 16:33:38,58,"I take it back. It’s 100% O’Toole himself. Not a word from him about free speech, lockdowns, the carbon tax, vaccines, China or anything people are terrified about. But him just dancing to the Liberal tune. He’s going to get slaughtered in the election: https://t.co/xQgFR4Xd3I https://t.co/7wp1yLOj3v",[]
DianaCo88057576,4998,1700,32768,2021-01-17 16:33:37,3326,"We're deploying vaccines like we do annual flu shots rather than the mass vaccinations done in Africa &amp; Asia where millions are vaccinated in weeks

Years ago, Joe Rhatigan &amp; I studied these campaigns. They offer several lessons that can inform what we need in the US now

THREAD",[]
KhooniBhai,844,178,36499,2021-01-17 16:33:37,223,"India's ready to prove it's a Covid-19 vaccination superpower with the world’s most ambitious inoculation drive. It has the largest vaccine makers, a tested delivery network, an app &amp; the broadest acceptance of vaccines. @narendramodi calls for confidence. https://t.co/SwsNqCxhzR https://t.co/DT9zTVoY53",[]
LaurieTopolski,10,4,11,2021-01-17 16:33:37,0,"@GovRonDeSantis @Publix Governor DeSantis. I am very disappointed in your response to the Covid vaccine in Sumter County. We received 7500 vaccines and The Villages alone has over 120,000 people over 65. You keep coming here because we are such a huge Republican audience but you have forgotten us now.",[]
upfitwriter,657,733,34340,2021-01-17 16:33:36,4,@charlesadler @kinsellawarren Kinsella hates PMJT. Sounds like Trump with the insults. There are vaccines still in fridges and we will get vaccines when the company sends them. We have ordered/reserved more than enough for Canada but we're competing with the whole world. Pfizer had a production problem. FFS.,[]
sheila89062698,203,189,14623,2021-01-17 16:33:36,46,"For months, @jkenney and @shandro failed to take action to stop death and misery caused by COVID. If not for government immunity, they'd both be personally legally responsible. Blaming delays in receiving vaccines is the next stage of their deadly incompetence.",[]
FriEda71111436,91,265,4650,2021-01-17 16:33:36,0,"@theiron201 @raylewi92752334 @barnbrookagain @spanishwhite @UKCovid19Stats I’ll explain 
When we delay the second dose of the vaccine we allow the virus a pool of vaccinated people to infect
This would happen normally,vaccines don’t offer immunity to infection,only severe illness.
But these people who have only been vaccinated once...",[]
chaiwala_moti,785,248,19026,2021-01-17 16:33:35,64,"Israel: Provide Vaccines to Occupied Palestinians 

Over 4.5 Million in West Bank, Gaza Excluded From Vaccination Push https://t.co/5aSmG80lkl https://t.co/Y3bNpTlING",[]
DebiThiem,824,498,12527,2021-01-17 16:33:35,1,"@RepDonBacon #ProLife #Hypocrites drive me absolutely nuts!

They will take stem cell derived vaccines, not wear a mask, execute the poor and disabled, leave the poor and destitute without healthcare education food and housing... yet call themselves prolife","[{'text': 'ProLife', 'indices': [30, 38]}, {'text': 'Hypocrites', 'indices': [39, 50]}]"
aribatat,1240,910,2320,2021-01-17 16:33:35,11,"Israel exercises exclusive control over Area C of the West Bank, encompassing 60+% of the territory, leaving no excuse not to vaccinate Palestinians living there. But so far it vaccinates only Jewish settlers there while leaving Palestinians to their fate. https://t.co/9EzPoxbakM https://t.co/qs9hdEmskI",[]
zyiteblog,3650,1729,1515999,2021-01-17 16:33:33,1,UAE lowers age requirement for COVID-19 vaccines to 16 https://t.co/qI7ILGipet https://t.co/zTT3YKVUoy,[]
phre_mas,113,54,646,2021-01-17 16:33:32,0,@Summers33456923 So far all vaccines at the fore front for covid are mRNA.,[]
kevdritchie,165,46,3005,2021-01-17 16:33:32,0,@karenmccrimmon how many more exemptions have given? Shameful International travel show be cancelled until you procure enough vaccines for all Canadians or COVID numbers drop significantly https://t.co/GEbRkaWKTW,[]
RafaA1984,501,315,14096,2021-01-17 16:33:32,1,"@CuecaLabs @JCPEREZCODEX Tecnología militar

""In 2012,...the US Defense Advanced Research Projects Agency (DARPA) began funding groups at Novartis, Pfizer, AstraZeneca, Sanofi Pasteur and elsewhere to work on RNA-encoded vaccines and therapeutics.""",[]
farothaiwe,972,181,107924,2021-01-17 16:33:31,9190,what kind of shithole president lies about having a stockpile of vaccines,[]
wible1,4993,4013,357644,2021-01-17 16:33:30,102,"Vaccines won't change the overall pandemic curve for months, but scaling up vaccinations will greatly reduce deaths. No time to waste.",[]
BowyInTheBox,1745,2772,158089,2021-01-17 16:33:30,5450,"Vaccines are designed to save lives, not political parties",[]
SkaterVarnum,1165,1937,7810,2021-01-17 16:33:30,3,"Federal Agencies Warn of Emerging #Fraud Schemes Related to COVID-19 Vaccines

Learn more about potential indicators of fraudulent activity and tips to avoid #COVID-19 vaccine-related fraud: https://t.co/JONXG55ela. #Prevention https://t.co/fRRVHClxSe","[{'text': 'Fraud', 'indices': [53, 59]}]"
JoanMcGahan,476,452,15063,2021-01-17 16:33:28,0,"@Cat5weaver @John2Win Was confirmed by a GP in John Lamont’s constituency today that his surgery have received just 100 vaccines to date.
So why didn’t ScotGov take up the surplus 200,000 vaccines from storage?  NI planned well ahead which is why they’re doing so well.",[]
MadhusudanAnn19,704,49,11341,2021-01-17 16:33:28,79,"Has Pakistan asked Covid vaccines from India ???
Answer - NO https://t.co/TDx9tmDNge",[]
SujoreJ,5297,4818,156983,2021-01-17 16:33:28,1,55 People Died in US After Receiving COVID-19 Vaccines: Reporting System https://t.co/jhupg7T4sf via @epochtimes,[]
NoMoreT53693016,15,1,1045,2021-01-17 16:33:27,0,"Governors were told repeatedly by @HHSgov there was a strategic reserve of vaccines, and this week, the American people were told it’d be released to increase supply of vaccine.
 
It appears now that no reserve exists. The Trump admin. must answer immediately for this deception.",[]
JohnEdwardBake1,1322,994,27609,2021-01-17 16:33:27,0,"NPR reports that Emergent BioSolutions, who has contracted to manufacture Covid vaccines, wrote into the details that they can vaccinate their employees and family members out of the order prescribed by the CDC.",[]
TheSimbiote,766,1626,9467,2021-01-17 16:33:26,8777,"Governors were told repeatedly by @HHSgov there was a strategic reserve of vaccines, and this week, the American people were told it’d be released to increase supply of vaccine.
 
It appears now that no reserve exists. The Trump admin. must answer immediately for this deception. https://t.co/JJky0NcbPi",[]
aribatat,1240,910,2320,2021-01-17 16:33:26,69,"Regardless of the PA, Israel flouts its obligation as an occupying power in the West Bank by vaccinating people on one side of the street but not the other based on whether they’re Jewish or Palestinian. Indeed in Area C Israel has sole control under Oslo. https://t.co/9EzPoxbakM https://t.co/ghWP6ueYqw",[]
astroff_bonita,4296,4247,12570,2021-01-17 16:33:26,0,"Brookline medical spa will administer vaccines? 🤔

https://t.co/AInoSThXd1",[]
siva_nsk,145,26,1284,2021-01-17 16:33:25,4824,"World’s #LargestVaccineDrive  ever in Bharath. Congratulations to our Scientists, healthcare workers and administration. Vaccines will definitely help mitigate Virus risk substantially but still very important to maintain protocols of non-spread. Blessings. -Sg","[{'text': 'LargestVaccineDrive', 'indices': [24, 44]}]"
IRealNinaO,152,275,2076,2021-01-17 16:33:24,4841,"PUBLIC WARNING? Almost a year into the pandemic, the FDA decides these masks aren’t okay? Panahong dalgona pa, ginagamit na ang mga ito, especially Aidelai. We even have that at home now. How sure are we you can decide on the vaccines if it took you so long to decide on masks? https://t.co/7Pg3389z04",[]
drippinghumour,146,144,8881,2021-01-17 16:33:24,4824,"World’s #LargestVaccineDrive  ever in Bharath. Congratulations to our Scientists, healthcare workers and administration. Vaccines will definitely help mitigate Virus risk substantially but still very important to maintain protocols of non-spread. Blessings. -Sg","[{'text': 'LargestVaccineDrive', 'indices': [24, 44]}]"
winfinancial,283,16,569,2021-01-17 16:33:24,0,"@ScottyArgyle71 @butts_4_jesus @GidMK The herd is built via pre immunity, those who get infected including the vast majority of whom are asymptomatic, then vaccines come in later to finish clearing the virus out. Our world herd is very sick mostly due to poor lifestyle",[]
heklami,184,152,3965,2021-01-17 16:33:24,0,@DonnyDunn @Gentlements @eQwabeni Yap it makes sense that someone with a known fainting problem would be used as a vaccine test dummy to show the whole world that vaccines are safe.,[]
osuaggrad,469,101,10848,2021-01-17 16:33:23,34,"Fauci: Approval of AstraZeneca and Johnson &amp; Johnson vaccines likely ""weeks away"" https://t.co/ojeFieGVIJ https://t.co/2sgKrRhc3B",[]
sschudie,1486,297,27601,2021-01-17 16:33:21,9190,what kind of shithole president lies about having a stockpile of vaccines,[]
sudkrish,906,997,1125,2021-01-17 16:33:20,1302,"If you, out of curiosity, get an antibody test after the second dose of vaccine, and it is negative, don't freak out. The test was probably done against nucleoprotein, not spike protein. And there is no nucleoprotein in the US/EU vaccines. You will only make antispike antibodies.",[]
ajcruz14th_aj,273,183,59124,2021-01-17 16:33:20,34,"Fauci: Approval of AstraZeneca and Johnson &amp; Johnson vaccines likely ""weeks away"" https://t.co/ojeFieGVIJ https://t.co/2sgKrRhc3B",[]
hariretweets,223,75,2424,2021-01-17 16:33:19,4824,"World’s #LargestVaccineDrive  ever in Bharath. Congratulations to our Scientists, healthcare workers and administration. Vaccines will definitely help mitigate Virus risk substantially but still very important to maintain protocols of non-spread. Blessings. -Sg","[{'text': 'LargestVaccineDrive', 'indices': [24, 44]}]"
john_johnsenior,323,128,17779,2021-01-17 16:33:19,995,With reports of unused vaccines being wasted at the end of the day - I now hear that Met police officers are being prevented by their bosses from havIng them if offered. If there is spare capacity surely we should protect those who protect us. @piersmorgan @susannareid100,[]
JaisheelaTomar,132,27,867,2021-01-17 16:33:19,4824,"World’s #LargestVaccineDrive  ever in Bharath. Congratulations to our Scientists, healthcare workers and administration. Vaccines will definitely help mitigate Virus risk substantially but still very important to maintain protocols of non-spread. Blessings. -Sg","[{'text': 'LargestVaccineDrive', 'indices': [24, 44]}]"
Tupe_Allen,265,255,8949,2021-01-17 16:33:18,4841,"PUBLIC WARNING? Almost a year into the pandemic, the FDA decides these masks aren’t okay? Panahong dalgona pa, ginagamit na ang mga ito, especially Aidelai. We even have that at home now. How sure are we you can decide on the vaccines if it took you so long to decide on masks? https://t.co/7Pg3389z04",[]
PeterWard1,2349,384,92784,2021-01-17 16:33:18,1,@EssexPR It’s is. Shame so many left wingers including medical staff on Twitter are trying to attack it as false info in relation to second jab numbers etc. Sometimes you have to applaud when the gov gets it right. And so far they are getting vaccines delivered better than the majority.,[]
esco_ponyobar,8,4,67,2021-01-17 16:33:17,0,"@LASkeeter1 @chick_redheaded @William49122052 @JoeBiden I’m much less knocking on the fear of adverse effects and much more knocking on describing them as poison. Adverse effects are super common in vaccines, that’s why there are extensive clinical trial. These people are risking the lives of their neighbors bc of a small chance.",[]
Bluebirdlouise,1202,777,56544,2021-01-17 16:33:17,6,"The public’s trust - especially minority groups - in government, in corporations and in the public health establishments has been abused &amp; squandered over decades (and continues to be). I believe these vaccines are safe &amp; essential but people who feel cautious are not fools.",[]
megdowdy,595,569,10603,2021-01-17 16:33:16,103,"Vaccines won't change the overall pandemic curve for months, but scaling up vaccinations will greatly reduce deaths. No time to waste.",[]
bruce_y_lee,856,12646,13919,2021-01-17 16:33:16,0,"What's the risk of severe allergic reactions from the #COVID19 #vaccine &amp; what should u do if you have a history of allergies?

Here I cover for @forbes these questions, including advice from allergy &amp; immunology experts @KimberlyBlumen1 &amp; 
@PaigeWickner https://t.co/8fEgqu6cCw","[{'text': 'COVID19', 'indices': [54, 62]}, {'text': 'vaccine', 'indices': [63, 71]}]"
norargh1,2880,1092,108554,2021-01-17 16:33:14,12,"Sask was lead story on CBC radio news. Highest per capita case count. Gov't refusing to do anything more. Clear that vaccines won't be here in time . This plays into their never-changing ""Trudeau bad, Sask strong"" shtick. Science fail. Failing people.  #Sask #COVID19",[]
WithemLourdes,366,152,8549,2021-01-17 16:33:14,121,"@KooyJan @hrw @netanyahu This is grotesque misinformation. As per the Oslo Accords, the Palestinian Authority is the sole and exclusive responsible for health care of Palestinians, not Israel. And the PA is procuring vaccines on its own, having explicitly rejected any collaboration from Israel.",[]
_A_Pharmacist,104,22,29,2021-01-17 16:33:13,1,#Bangladesh on track to receive #Covid #vaccines from #India on time as the commitment is between the highest levels of political leadership: @EconomicTimes https://t.co/JFru5XZy6D #COVID19Vaccination #OxfordAstrazeneca #Vaccination #COVID19,"[{'text': 'Bangladesh', 'indices': [13, 24]}, {'text': 'Covid', 'indices': [45, 51]}, {'text': 'vaccines', 'indices': [52, 61]}, {'text': 'India', 'indices': [67, 73]}]"
vwerber,2346,1809,37233,2021-01-17 16:33:12,3,"And vaccines are exactly part of the benefit for the hands that pull the strings. And they have a way of not letting vaccinations to end their good times—they are telling you about how fear is still necessary. BTW, do you know why you have to sign a waiver for the vaccine? 2/2",[]
NourSharara,2798,947,2785,2021-01-17 16:33:11,103,"Vaccines won't change the overall pandemic curve for months, but scaling up vaccinations will greatly reduce deaths. No time to waste.",[]
KathleenWaln,345,74,38164,2021-01-17 16:33:11,103,"Vaccines won't change the overall pandemic curve for months, but scaling up vaccinations will greatly reduce deaths. No time to waste.",[]
WhitesidePaula,9905,9014,109391,2021-01-17 16:33:10,2237,"Vaccines may be our way out of this pandemic but they won’t change the social and environmental conditions that gave rise to the virus in the first place. We have to fundamentally change the way we treat animals. Until we do that, we’ll always be at risk from zoonotic viruses.",[]
MeallyHen,2137,2199,291385,2021-01-17 16:33:09,2,"Jab = freedom?? 
“Proof of immunization will not be sufficient, because the vaccines have only been shown to prevent serious illness, said Jason McDonald, a spokesman for the C.D.C. Vaccinated people may still become infected, in theory, and transmit the virus on a flight.”",[]
reillyd123,239,11,3158,2021-01-17 16:33:09,0,@TheOnion In the history of stupidity this Johnson government achieves top place . Lost £22 billion now can’t get us 2 vaccines!. 100000 dead and English Racist Pinocchio Media still Supporting Trump and Johnston!,[]
mothevarun,4993,416,29659,2021-01-17 16:33:08,0,@Abidkhanaka1 @amitabhk87 pakistanis living in denial eh. hyderabad itself produces 1/3rd of global vaccines,[]
MickWalsh63,3348,409,12226,2021-01-17 16:33:07,0,"@VladPutin1 @atticrahman @Mike_Fabricant 'a rabies vaccine used to immunize wild animals. So far, no adenoviral vector vaccines have demonstrated they can prevent disease in humans.'",[]
kumarprakash100,24,51,9855,2021-01-17 16:33:07,210,Hon’ble PM Sh. @NarendraModi’s address at the 75th jubilee of @CSIR_NPL accentuates how Indian scientists have played a massive role in developing indigenous vaccines for #COVID19 and underlines his deep appreciation for the scientific community. @PMOIndia https://t.co/TFrXR6APY3,[]
ZyiteGadgets,4835,2832,1382831,2021-01-17 16:33:07,1,UAE lowers age requirement for COVID-19 vaccines to 16 https://t.co/qI7ILGipet https://t.co/zTT3YKVUoy,[]
bethlinas,11583,12927,45453,2021-01-17 16:33:05,1,"That’s a doozy of a quote in new @ddiamond long piece on Warp Speed rollout. As Chris Rock once said (much more colorfully), you don’t get credit for stuff your *supposed* to do. Oh look - we saved you from vaccines with no data being approved by Jared. https://t.co/2FaZIKVLSb https://t.co/z9T19F8q7c",[]
bridget123goooo,15988,16047,62847,2021-01-17 16:33:04,0,"FL made the vaccine available to people 65+, including nonresidents. Many own 2nd homes in FL or reside only part time. Some calling it vaccine tourism, has drawn fire from officials &amp;residents. 

What about the rest of Floridians? They don’t count? #ONEV1 https://t.co/VmTxmimpSB","[{'text': 'ONEV1', 'indices': [254, 260]}]"
